,_c0,teamID,yearID,G,W,L,H,AB,SB,HR,2B,3B,R,ERA,RA,IPouts,HA,BBA,BAVG,SLG,H/BBA,IP,WHIP,Run_Buckets
72,82,HOU,2017,162,101,61,1581,5611,98.0,238,346,20,896,4.12,700,4338,1314,522,0.281767955801105,0.47781144181072893,1836,1446.0,1.2697095435684647,HIGH
73,83,HOU,2018,162,103,59,1390,5453,71.0,205,278,18,797,3.11,534,4365,1164,435,0.25490555657436276,0.42527049330643685,1599,1455.0,1.0989690721649485,HIGH
74,84,HOU,2019,162,107,55,1538,5613,67.0,288,323,28,920,3.66,640,4387,1205,448,0.27400676999821844,0.49545697487974344,1653,1462.3333333333333,1.1303852290859357,HIGH
75,86,HOU,2021,162,95,67,1496,5593,53.0,221,299,14,863,3.78,658,4335,1231,549,0.2674772036474164,0.44448417664938317,1780,1445.0,1.231833910034602,HIGH
76,87,HOU,2022,162,106,56,1341,5409,83.0,214,284,13,737,2.9,518,4336,1121,458,0.24792013311148087,0.423923091144389,1579,1445.3333333333333,1.0924815498154983,MID
77,88,KCA,2015,162,95,67,1497,5575,104.0,139,300,42,724,3.73,641,4356,1372,489,0.2685201793721973,0.41219730941704036,1861,1452.0,1.2816804407713498,MID
78,89,KCA,2016,162,81,81,1450,5552,121.0,147,264,33,675,4.21,712,4320,1433,517,0.2611671469740634,0.40003602305475505,1950,1440.0,1.3541666666666667,LOW-MID
79,90,KCA,2017,162,80,82,1436,5536,91.0,193,260,24,702,4.61,791,4313,1480,519,0.25939306358381503,0.4196170520231214,1999,1437.6666666666667,1.3904474843496406,LOW-MID
80,91,KCA,2018,162,58,104,1350,5505,117.0,155,283,29,638,4.94,833,4296,1542,549,0.2452316076294278,0.3916439600363306,2091,1432.0,1.460195530726257,LOW
81,92,KCA,2019,162,59,103,1356,5496,117.0,162,281,40,691,5.2,869,4275,1525,582,0.24672489082969432,0.40083697234352256,2107,1425.0,1.4785964912280702,LOW-MID
82,94,KCA,2021,162,74,88,1349,5427,124.0,163,251,29,686,4.64,788,4252,1375,591,0.24857195503961674,0.3956145199926294,1966,1417.3333333333333,1.3871119473189089,LOW-MID
83,95,KCA,2022,162,65,97,1327,5437,104.0,138,247,38,640,4.7,810,4248,1493,589,0.24406842008460547,0.3796211145852492,2082,1416.0,1.4703389830508475,LOW
84,96,LAA,2015,162,85,77,1331,5417,52.0,176,243,21,661,3.94,675,4322,1355,466,0.24570795643345025,0.39579102824441575,1821,1440.6666666666667,1.2639981490050902,LOW
85,97,LAA,2016,162,74,88,1410,5431,73.0,156,279,20,717,4.28,727,4264,1480,498,0.25962069600441906,0.40452955256858775,1978,1421.3333333333333,1.3916510318949344,MID
86,98,LAA,2017,162,80,82,1314,5415,136.0,186,251,14,710,4.2,709,4322,1373,470,0.24265927977839336,0.3972299168975069,1843,1440.6666666666667,1.2792688570106432,MID
87,99,LAA,2018,162,80,82,1323,5472,89.0,214,249,23,721,4.15,722,4312,1353,546,0.24177631578947367,0.4130116959064328,1899,1437.3333333333333,1.3211966604823748,MID
88,100,LAA,2019,162,72,90,1368,5542,65.0,220,268,21,769,5.12,868,4328,1417,576,0.2468422952002887,0.4218693612414291,1993,1442.6666666666667,1.3814695009242144,MID-HIGH
89,102,LAA,2021,162,77,85,1331,5437,79.0,190,265,23,723,4.69,804,4265,1373,592,0.24480411991907303,0.4068420084605481,1965,1421.6666666666667,1.3821805392731534,MID
90,103,LAA,2022,162,73,89,1265,5423,77.0,190,219,31,623,3.77,668,4307,1241,540,0.2332657200811359,0.3901899317720819,1781,1435.6666666666667,1.2405386579986069,LOW
91,104,LAN,2015,162,92,70,1346,5385,59.0,187,263,26,667,3.44,595,4337,1317,395,0.2499535747446611,0.412627669452182,1712,1445.6666666666667,1.184228729536546,LOW
92,105,LAN,2016,162,91,71,1376,5518,45.0,189,272,21,725,3.7,638,4359,1266,464,0.2493657122145705,0.40902500906125405,1730,1453.0,1.1906400550584997,MID
93,106,LAN,2017,162,104,58,1347,5408,77.0,221,312,20,770,3.38,580,4334,1226,442,0.24907544378698224,0.4367603550295858,1668,1444.6666666666667,1.154591601292109,MID-HIGH
94,107,LAN,2018,163,92,71,1394,5572,75.0,235,296,33,804,3.38,610,4428,1279,422,0.2501794687724336,0.4416726489590811,1701,1476.0,1.1524390243902438,HIGH
95,108,LAN,2019,162,106,56,1414,5493,57.0,279,302,20,886,3.37,613,4337,1201,392,0.2574185326779538,0.4720553431640269,1593,1445.6666666666667,1.101913765275536,HIGH
96,110,LAN,2021,162,106,56,1330,5445,65.0,237,247,24,830,3.01,561,4356,1107,486,0.24426078971533516,0.4290174471992654,1593,1452.0,1.0971074380165289,HIGH
97,111,LAN,2022,162,111,51,1418,5526,98.0,212,325,31,847,2.8,513,4354,1114,407,0.2566051393412957,0.4417300036192544,1521,1451.3333333333333,1.048001837390905,HIGH
98,112,MIA,2015,162,71,91,1420,5463,112.0,120,236,40,613,4.02,678,4281,1374,508,0.25993044114955155,0.3836719751052535,1882,1427.0,1.3188507358093904,LOW
99,113,MIA,2016,161,79,82,1460,5547,71.0,128,259,42,655,4.05,682,4305,1358,595,0.26320533621777537,0.3942671714440238,1953,1435.0,1.3609756097560977,LOW
100,114,MIA,2017,162,77,85,1497,5602,91.0,194,271,31,778,4.82,822,4328,1450,627,0.26722599071760084,0.4305605141021064,2077,1442.6666666666667,1.439695009242144,MID-HIGH
101,115,MIA,2018,161,63,98,1303,5488,45.0,128,222,24,589,4.76,809,4326,1388,605,0.2374271137026239,0.35659620991253643,1993,1442.0,1.382108183079057,LOW
102,116,MIA,2019,162,57,105,1326,5512,55.0,146,265,18,615,4.74,808,4333,1340,615,0.24056603773584906,0.37463715529753266,1955,1444.3333333333333,1.3535656588968383,LOW
103,118,MIA,2021,162,67,95,1244,5348,106.0,158,226,23,623,3.96,701,4245,1282,529,0.23261032161555723,0.37210172026925953,1811,1415.0,1.2798586572438162,LOW
104,119,MIA,2022,162,69,93,1241,5395,122.0,144,248,20,586,3.86,676,4312,1311,511,0.23002780352177943,0.3634847080630213,1822,1437.3333333333333,1.2676252319109462,LOW
105,120,MIL,2015,162,68,94,1378,5480,84.0,145,274,34,655,4.28,737,4305,1432,517,0.2514598540145985,0.39324817518248173,1949,1435.0,1.3581881533101046,LOW
106,121,MIL,2016,162,73,89,1299,5330,181.0,194,249,19,671,4.08,733,4303,1450,532,0.24371482176360226,0.40675422138836775,1982,1434.3333333333333,1.3818266325819197,LOW-MID
107,122,MIL,2017,162,86,76,1363,5467,128.0,224,267,22,732,4.0,697,4337,1381,553,0.24931406621547467,0.42912017559904886,1934,1445.6666666666667,1.337791099838598,MID
108,123,MIL,2018,163,96,67,1398,5542,124.0,218,252,24,754,3.73,659,4383,1259,553,0.2522555034283652,0.4243955250811981,1812,1461.0,1.2402464065708418,MID-HIGH
109,124,MIL,2019,162,89,73,1366,5542,101.0,250,279,17,769,4.4,766,4378,1364,570,0.24648141465175027,0.43828942619992783,1934,1459.3333333333333,1.325262677021471,MID-HIGH
110,126,MIL,2021,162,95,67,1251,5362,82.0,194,255,18,738,3.5,623,4308,1156,537,0.23330846698992913,0.3961208504289444,1693,1436.0,1.1789693593314763,MID
111,127,MIL,2022,162,86,76,1271,5417,96.0,219,251,17,725,3.83,688,4338,1238,521,0.23463171497138638,0.40852870592578916,1759,1446.0,1.2164591977869985,MID
112,128,MIN,2015,162,83,79,1349,5467,70.0,156,277,44,696,4.07,700,4329,1506,413,0.24675324675324675,0.39912200475580756,1919,1443.0,1.3298683298683298,LOW-MID
113,129,MIN,2016,162,59,103,1409,5618,91.0,200,288,35,722,5.08,889,4329,1617,479,0.2508009967960128,0.4213243147027412,2096,1443.0,1.4525294525294525,MID
114,130,MIN,2017,162,85,77,1444,5557,95.0,206,286,31,815,4.59,788,4308,1487,483,0.25985243836602484,0.4336872413172575,1970,1436.0,1.371866295264624,HIGH
115,131,MIN,2018,162,78,84,1379,5526,47.0,166,317,22,738,4.5,775,4330,1425,573,0.24954759319580166,0.40499457111834963,1998,1443.3333333333333,1.384295612009238,MID
116,132,MIN,2019,162,101,61,1547,5732,28.0,307,318,23,939,4.18,754,4390,1456,452,0.2698883461270063,0.49406838799720865,1908,1463.3333333333333,1.3038724373576311,HIGH
117,134,MIN,2021,162,73,89,1311,5431,54.0,228,271,17,729,4.83,834,4258,1392,484,0.24139200883815135,0.42349475234763395,1876,1419.3333333333333,1.3217472992015031,MID
118,135,MIN,2022,162,78,84,1356,5476,38.0,178,269,18,696,3.98,684,4311,1320,468,0.24762600438276114,0.4008400292184076,1788,1437.0,1.244258872651357,LOW-MID
119,136,NYA,2015,162,87,75,1397,5567,63.0,212,272,19,764,4.03,698,4373,1416,474,0.250943057301958,0.4208730016166697,1890,1457.6666666666667,1.2965927281042762,MID-HIGH
120,137,NYA,2016,162,84,78,1378,5458,72.0,183,245,20,680,4.16,702,4285,1358,444,0.25247343349212165,0.4052766581165262,1802,1428.3333333333333,1.261610268378063,LOW-MID
121,138,NYA,2017,162,91,71,1463,5594,90.0,241,266,23,858,3.72,660,4346,1248,504,0.26153021094029316,0.4465498748659278,1752,1448.6666666666667,1.209387942936033,HIGH
122,139,NYA,2018,162,100,62,1374,5515,63.0,267,269,23,851,3.78,669,4369,1311,494,0.24913871260199455,0.4514959202175884,1805,1456.3333333333333,1.239414053559167,HIGH
123,140,NYA,2019,162,103,59,1493,5583,55.0,306,290,17,943,4.31,739,4329,1374,507,0.2674189503850976,0.4898799928353932,1881,1443.0,1.3035343035343034,HIGH
124,142,NYA,2021,162,92,70,1266,5331,63.0,222,213,12,711,3.74,669,4306,1243,492,0.23747889701744512,0.4068655036578503,1735,1435.3333333333333,1.2087784486762658,MID
125,143,NYA,2022,162,99,63,1308,5422,102.0,254,225,8,807,3.3,567,4355,1177,444,0.24123939505717448,0.4262264846919956,1621,1451.6666666666667,1.1166475315729048,HIGH
